sp,en,ua,ru,img,sp_sound,en_sound,ua_sound,ru_sound
Hola.,Hello.,Привіт.,Привет.,,,,,
¿Cómo estás?,How are you?,Як ти?,Как ты?,,,,,
"Estoy bien, gracias.","I'm fine, thank you.","Я добре, дякую.","Я хорошо, спасибо.",,,,,
¿Cuál es tu nombre?,What is your name?,Як тебе звати?,Как тебя зовут?,,,,,
Me llamo Ana.,My name is Ana.,Мене звати Ана.,Меня зовут Ана.,,,,,
Mucho gusto.,Nice to meet you.,Приємно познайомитися.,Приятно познакомиться.,,,,,
Gracias.,Thank you.,Дякую.,Спасибо.,,,,,
De nada.,You're welcome.,Будь ласка.,Пожалуйста.,,,,,
Perdón.,Sorry.,Вибач.,Извини.,,,,,
No entiendo.,I don't understand.,Я не розумію.,Я не понимаю.,,,,,
¿Dónde está el baño?,Where is the bathroom?,Де знаходиться туалет?,Где находится туалет?,,,,,
¿Cuánto cuesta?,How much is it?,Скільки це коштує?,Сколько это стоит?,,,,,
¿Qué hora es?,What time is it?,Котра година?,Который час?,,,,,
Hasta luego.,See you later.,Побачимось.,Увидимся позже.,,,,,
Buenos días.,Good morning.,Доброго ранку.,Доброе утро.,,,,,
Buenas noches.,Good night.,На добраніч.,Спокойной ночи.,,,,,
Buenas tardes.,Good afternoon.,Добрий день.,Добрый день.,,,,,
¿Hablas inglés?,Do you speak English?,Ти говориш англійською?,Ты говоришь по-английски?,,,,,
No hablo español.,I don't speak Spanish.,Я не говорю іспанською.,Я не говорю по-испански.,,,,,
¿Puedes ayudarme?,Can you help me?,Ти можеш мені допомогти?,Ты можешь мне помочь?,,,,,
Lo siento.,I'm sorry.,Мені шкода.,Мне жаль.,,,,,
Te quiero.,I love you.,Я тебе кохаю.,Я тебя люблю.,,,,,
No lo sé.,I don't know.,Я не знаю.,Я не знаю.,,,,,
¿Qué haces?,What are you doing?,Що ти робиш?,Что ты делаешь?,,,,,
¿Dónde vives?,Where do you live?,Де ти живеш?,Где ты живёшь?,,,,,
Tengo hambre.,I'm hungry.,Я голодний.,Я голоден.,,,,,
Tengo sed.,I'm thirsty.,Я хочу пити.,Я хочу пить.,,,,,
Tengo sueño.,I'm sleepy.,Я хочу спати.,Я хочу спать.,,,,,
Estoy cansado.,I'm tired.,Я втомлений.,Я устал.,,,,,
¡Feliz cumpleaños!,Happy birthday!,З днем народження!,С днём рождения!,,,,,
¡Buena suerte!,Good luck!,Удачі!,Удачи!,,,,,
¡Salud!,Bless you!,Будь здоров!,Будь здоров!,,,,,
Estoy ocupado.,I'm busy.,Я зайнятий.,Я занят.,,,,,
¿Qué pasa?,What's going on?,Що трапилось?,Что случилось?,,,,,
¿Qué tal?,What's up?,Як справи?,Как дела?,,,,,
Vamos.,Let's go.,Ходімо.,Пошли.,,,,,
Ven aquí.,Come here.,Іди сюди.,Иди сюда.,,,,,
¡Cuidado!,Watch out!,Обережно!,Осторожно!,,,,,
¿Por qué?,Why?,Чому?,Почему?,,,,,
¿Cuándo?,When?,Коли?,Когда?,,,,,
¿Quién?,Who?,Хто?,Кто?,,,,,
¿Qué?,What?,Що?,Что?,,,,,
¿Cómo?,How?,Як?,Как?,,,,,
¿Dónde?,Where?,Де?,Где?,,,,,
Estoy perdido.,I'm lost.,Я загубився.,Я потерялся.,,,,,
¿Tienes tiempo?,Do you have time?,У тебе є час?,У тебя есть время?,,,,,
Espera un momento.,Wait a moment.,Зачекай хвилинку.,Подожди минутку.,,,,,
¡Qué bonito!,How beautiful!,Як гарно!,Как красиво!,,,,,
¡Qué bueno!,How nice!,Як добре!,Как хорошо!,,,,,
No me gusta.,I don't like it.,Мені не подобається.,Мне не нравится.,,,,,
Me gusta.,I like it.,Мені подобається.,Мне нравится.,,,,,
Estoy feliz.,I'm happy.,Я щасливий.,Я счастлив.,,,,,
Estoy triste.,I'm sad.,Мені сумно.,Мне грустно.,,,,,
Hace calor.,It's hot.,Спекотно.,Жарко.,,,,,
Hace frío.,It's cold.,Холодно.,Холодно.,,,,,
Está lloviendo.,It's raining.,Йде дощ.,Идёт дождь.,,,,,
Hace sol.,It's sunny.,Сонячно.,Солнечно.,,,,,
Está nublado.,It's cloudy.,Хмарно.,Пасмурно.,,,,,
Estoy enfermo.,I'm sick.,Я хворий.,Я болен.,,,,,
Necesito ayuda.,I need help.,Мені потрібна допомога.,Мне нужна помощь.,,,,,
Llama a la policía.,Call the police.,Подзвони в поліцію.,Позвони в полицию.,,,,,
¿Dónde está el hospital?,Where is the hospital?,Де лікарня?,Где больница?,,,,,
Estoy en casa.,I'm at home.,Я вдома.,Я дома.,,,,,
Estoy en el trabajo.,I'm at work.,Я на роботі.,Я на работе.,,,,,
Estoy en la escuela.,I'm at school.,Я в школі.,Я в школе.,,,,,
Estoy en camino.,I'm on my way.,Я в дорозі.,Я в пути.,,,,,
Nos vemos pronto.,See you soon.,Побачимось скоро.,Увидимся скоро.,,,,,
Hasta mañana.,See you tomorrow.,До завтра.,До завтра.,,,,,
Disculpa.,Excuse me.,Вибач.,Извините.,,,,,
¿Qué quieres?,What do you want?,Що ти хочеш?,Что ты хочешь?,,,,,
¿Puedo ayudarte?,Can I help you?,Можу я тобі допомогти?,Могу я тебе помочь?,,,,,
Estoy aprendiendo español.,I'm learning Spanish.,Я вивчаю іспанську.,Я изучаю испанский.,,,,,
No tengo dinero.,I don't have money.,У мене немає грошей.,У меня нет денег.,,,,,
Tengo que irme.,I have to go.,Мені треба йти.,Мне нужно идти.,,,,,
¿Qué significa esto?,What does this mean?,Що це означає?,Что это значит?,,,,,
¿Puedes repetirlo?,Can you repeat that?,Можеш повторити?,Можешь повторить?,,,,,
Habla más despacio.,Speak slower.,Говори повільніше.,Говори медленнее.,,,,,
Estoy buscando esto.,I'm looking for this.,Я це шукаю.,Я это ищу.,,,,,
¿Dónde puedo comprar esto?,Where can I buy this?,Де я можу це купити?,Где я могу это купить?,,,,,
¿Puedes decirlo otra vez?,Can you say it again?,Можеш сказати ще раз?,Можешь сказать ещё раз?,,,,,
Tengo una pregunta.,I have a question.,У мене є питання.,У меня есть вопрос.,,,,,
Estoy de acuerdo.,I agree.,Я згоден.,Я согласен.,,,,,
No estoy de acuerdo.,I don't agree.,Я не згоден.,Я не согласен.,,,,,
Eso es verdad.,That's true.,Це правда.,Это правда.,,,,,
Eso es mentira.,That's a lie.,Це неправда.,Это ложь.,,,,,
¡Qué sorpresa!,What a surprise!,Який сюрприз!,Какой сюрприз!,,,,,
¡Qué pena!,What a pity!,Шкода.,Жаль.,,,,,
¿Qué opinas?,What do you think?,Що ти думаєш?,Что ты думаешь?,,sp_what_do_you_think.mp3,,,ru_what_do_you_think.mp3
No importa.,It doesn't matter.,Неважливо.,Неважно.,,sp_it_doesnt_matter.mp3,,,ru_it_doesnt_matter.mp3
Por supuesto.,Of course.,Звичайно.,Конечно.,,sp_of_course.mp3,,,ru_of_course.mp3
Tal vez.,Maybe.,Можливо.,Может быть.,,sp_maybe.mp3,,,ru_maybe.mp3
Nunca.,Never.,Ніколи.,Никогда.,,sp_never.mp3,,,ru_never.mp3
Siempre.,Always.,Завжди.,Всегда.,,sp_always.mp3,,,ru_always.mp3
A veces.,Sometimes.,Іноді.,Иногда.,,sp_sometimes.mp3,,,ru_sometimes.mp3
Hoy.,Today.,Сьогодні.,Сегодня.,,sp_today.mp3,,,ru_today.mp3
Mañana.,Tomorrow.,Завтра.,Завтра.,,sp_tomorrow.mp3,,,ru_tomorrow.mp3
Ayer.,Yesterday.,Вчора.,Вчера.,,sp_yesterday.mp3,,,ru_yesterday.mp3
